['LFXS26973', 'LFXC22526', 'LFXS28968', 'LMXS28626', 'LMXS28636', 'LFXS26566', 'LFXS28566']
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
Preparing for Vacation 	 description_OPERATION_REFRIGERATOR 	 ['Set the icemaker power button to OFF and shut off the water supply to the refrigerator.', 'If the ambient temperature will drop below freezing, have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections.', 'The ice bin should be emptied any time the icemaker power button is turned to the OFF position.']
Automatic Icemaker 	 have_features_OPERATION_REFRIGERATOR 	 Before Using the Freezer Icemaker
Automatic Icemaker 	 have_features_OPERATION_REFRIGERATOR 	 Freezer Icemaker (Cubed Ice)
Automatic Icemaker 	 have_features_OPERATION_REFRIGERATOR 	 Turning the Icemaker On/Off
Automatic Icemaker 	 have_features_OPERATION_REFRIGERATOR 	 Normal Sounds You May Hear
Automatic Icemaker 	 have_features_OPERATION_REFRIGERATOR 	 Preparing for Vacation
Storing Food 	 have_features_OPERATION_REFRIGERATOR 	 Food
Food 	 storing 	 Food Storage Tips
Food Storage Tips 	 description_OPERATION_REFRIGERATOR 	 ['Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted. This prevents food odor and taste transfer throughout the refrigerator. For dated products, check date code to ensure freshness.']
Food Storage Tips 	 caution 	 ['Do not overfill or pack items too tightly into door bins. Doing so may cause damage to the bin or personal injury if items are removed with excessive force.', 'Do not store glass containers in the freezer. Contents may expand when frozen, break the container and cause injury.']
Food Storage Tips 	 How_to_Store_Food 	 Food
Food 	 storing 	 Butter or Margarine
Butter or Margarine 	 description_OPERATION_REFRIGERATOR 	 ['Keep opened butter in covered dish or closed compartment. When storing an extra supply, wrap in freezer packaging and freeze.']
Cheese 	 description_OPERATION_REFRIGERATOR 	 ['Store in original wrapping until used. Once opened, rewrap tightly in plastic wrap or aluminum foil.']
Milk 	 description_OPERATION_REFRIGERATOR 	 ['Wipe milk cartons. For coldest milk, place containers on an interior shelf.']
Eggs 	 description_OPERATION_REFRIGERATOR 	 ['Store in original carton on interior shelf, not on door shelf.']
Fruit 	 description_OPERATION_REFRIGERATOR 	 ['Do not wash or hull fruit until it is ready to be used. Sort and keep fruit in original container in a crisper, or store in completely closed paper bag on refrigerator shelf.']
Leafy Vegetables 	 description_OPERATION_REFRIGERATOR 	 ['Remove store wrapping, trim or tear off bruised and discolored areas, wash in cold water, and drain. Place in plastic bag or plastic container and store in crisper.']
Vegetables with skins (carrots, peppers) 	 description_OPERATION_REFRIGERATOR 	 ['Place in plastic bags or plastic container and store in crisper.']
Fish 	 description_OPERATION_REFRIGERATOR 	 ['Freeze fresh fish and shellfish if they are not being eaten the same day purchased. Eating fresh fish and shellfish the same day purchased is recommended.']
Leftovers 	 description_OPERATION_REFRIGERATOR 	 ['Cover leftovers with plastic wrap or aluminum foil, or store in plastic containers with tight lids.']
Food 	 storing 	 Cheese
Food 	 storing 	 Milk
Food 	 storing 	 Eggs
Food 	 storing 	 Fruit
Food 	 storing 	 Leafy Vegetables
Food 	 storing 	 Vegetables with skins (carrots, peppers)
Food 	 storing 	 Fish
Food 	 storing 	 Leftovers
Storing Frozen Food 	 have_features_OPERATION_REFRIGERATOR 	 Frozen Food
Frozen Food 	 storing.description 	 ['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come into direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If doors are opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.']
Frozen Food 	 storing.Freezing 	 ['Your freezer will not quick-freeze a large quantity of food. Do not put more unfrozen food into the freezer than will freeze within 24 hours (no more than 2 to 3 pounds of food per cubic foot of freezer space). Leave enough space in the freezer for air to circulate around packages. Be careful to leave enough room at the front so the door can close tightly.', 'Storage times will vary according to the quality and type of food, the type of packaging or wrap used (how airtight and moisture-proof) and the storage temperature. Ice crystals inside a sealed package are normal. This simply means that moisture in the food and air inside the package have condensed, creating ice crystals.']
Frozen Food 	 storing.Packaging.description 	 ['Successful freezing depends on correct packaging. When you close and seal the package, it must not allow air or moisture in or out. If it does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food.', 'Follow package or container instructions for proper freezing methods.']
Frozen Food 	 storing.Packaging.Packaging_recommendations 	 ['Rigid plastic containers with tight-fitting lids', 'Straight-sided canning/freezing jars', 'Heavy-duty aluminum foil', 'Plastic-coated paper', 'Non-permeable plastic wraps', 'Specified freezer-grade self-sealing plastic bags']
Frozen Food 	 storing.Packaging.Do_not_use 	 ['Bread wrappers', 'Non-polyethylene plastic containers', 'Containers without tight lids', 'Wax paper or wax-coated freezer wrap', 'Thin, semi-permeable wrap']
Food 	 storing 	 Storing Frozen Food
Humidity Controlled Crispers 	 using.description 	 ['This feature is only available on some models.', 'The crispers provide fresher tasting fruit and vegetables by letting you easily control humidity inside the drawer.', 'You can control the amount of humidity in the moisture-sealed crispers by adjusting the control to any setting between Vegetables and Fruit.', 'Vegetables keeps moist air in the crisper for best storage of fresh, leafy vegetables.', 'Fruit lets moist air out of the crisper for best storage of fruit.']
Humidity Controlled Crispers 	 Removing.procedure.steps 	 ['Open the doors completely and remove the contents of the Door-in-Door case. Lift up and pull out the Door-in-Door case.', 'The Door-in-Door feature is only available on some models.', 'Pull out the crisper to full extension, lift the front up, and pull straight out.', 'Lift the front of the cover up with both hands until it detaches from the back wall of the cabinet, then pull it out.', 'To reassemble, insert the cover into the refrigerator with both hands and lower it onto the guides.', 'Slightly tilt up the front, insert the crisper into the frame and push it back into place.', 'Line up the tabs on the Door-in-Door case with the slots on the door and push down until it snaps into place.', 'The Door-in-Door feature is only available on some models.']
Humidity Controlled Crispers 	 Assembling.procedure.steps 	 ['Open the doors completely and remove the contents of the Door-in-Door case. Lift up and pull out the Door-in-Door case.', 'The Door-in-Door feature is only available on some models.', 'Pull out the crisper to full extension, lift the front up, and pull straight out.', 'Lift the front of the cover up with both hands until it detaches from the back wall of the cabinet, then pull it out.', 'To reassemble, insert the cover into the refrigerator with both hands and lower it onto the guides.', 'Slightly tilt up the front, insert the crisper into the frame and push it back into place.', 'Line up the tabs on the Door-in-Door case with the slots on the door and push down until it snaps into place.', 'The Door-in-Door feature is only available on some models.']
GlideNServe 	 using.description 	 ['This function provides storage space with a variable temperature control that can keep the compartment at a slightly different temperature than the refrigerator section. This drawer can be used for large party trays, deli items and beverages. (This drawer should not be used to store vegetables that require high humidity.)', 'Press the Select button to choose between Produce (Cold), Deli (Colder) and Meat (Coldest).']
GlideNServe 	 using.caution 	 ["Do not place any items on the Glide'N'Serve cover."]
GlideNServe 	 Detaching.procedure.steps 	 ["To remove the Glide'N'Serve, pull out the drawer until it stops, lift the front up, and pull straight out.", 'To assemble, slightly tilt up the front, insert the drawer into the frame and push it back into place.']
GlideNServe 	 Assembling.procedure.steps 	 ["To remove the Glide'N'Serve, pull out the drawer until it stops, lift the front up, and pull straight out.", 'To assemble, slightly tilt up the front, insert the drawer into the frame and push it back into place.']
Refrigerator Shelves 	 summary 	 ['The shelves in the refrigerator are adjustable to meet individual storage needs.', 'Adjusting the shelves to fit items of different heights will make finding the exact item you want easier.']
Refrigerator Shelves 	 have_features_OPERATION_REFRIGERATOR 	 Using the Folding Shelf
Using the Folding Shelf 	 have_features_OPERATION_REFRIGERATOR 	 Folding Shelf
Folding Shelf 	 using.description 	 ['This feature is only available on some models.', 'Store taller items, such as a gallon container or bottles, by pushing the front half of the shelf underneath the back half of the shelf. Pull the front of the shelf forward to return to a full shelf.']
Folding Shelf 	 using.caution 	 ['Glass shelves are heavy. Use special care when removing them.', 'Do not clean glass shelves with warm water while they are cold. Shelves may break if exposed to sudden temperature changes or impact.']
Detaching/Assembling the Shelf 	 have_features_OPERATION_REFRIGERATOR 	 Shelf
Shelf 	 Detaching.caution 	 ['Do not clean glass shelves with warm water while they are cold. Shelves may break if exposed to sudden temperature changes or impact.']
Shelf 	 Detaching.procedure.steps 	 ['To detach, tilt up the front of the shelf and lift the shelf straight up.', 'Pull the shelf out.', 'To assemble, tilt the front of the shelf up and guide the shelf hooks into the slots at a desired height.', 'caution', 'Make sure that shelves are level from one side to the other. Failure to do so may result in the shelf falling or spilled food.']
Shelf 	 Assembling.caution 	 ['Do not clean glass shelves with warm water while they are cold. Shelves may break if exposed to sudden temperature changes or impact.']
Shelf 	 Assembling.procedure.steps 	 ['To detach, tilt up the front of the shelf and lift the shelf straight up.', 'Pull the shelf out.', 'To assemble, tilt the front of the shelf up and guide the shelf hooks into the slots at a desired height.', 'caution', 'Make sure that shelves are level from one side to the other. Failure to do so may result in the shelf falling or spilled food.']
Refrigerator Shelves 	 have_features_OPERATION_REFRIGERATOR 	 Detaching/Assembling the Shelf
Door-in-Door 	 summary 	 ['This feature is only available on some models.', 'The Door-in-Door compartment allows for easy access to commonly used food items.']
Door-in-Door 	 have_features_OPERATION_REFRIGERATOR 	 Door-in-Door Compartment
Door-in-Door Compartment 	 description_OPERATION_REFRIGERATOR 	 ['To access the Door-in-Door compartment, lightly press the button on the right refrigerator door handle.']
Door-in-Door Bin 	 description_OPERATION_REFRIGERATOR 	 ['The Door-in-Door inner and outer door bins are removable for easy cleaning.']
Door-in-Door Bin 	 procedure.steps 	 ['To remove the door bins, lift up and pull out.', 'To replace the door bins, slide the door bin in above the desired support and push down until it snaps into place.']
Door-in-Door Case 	 description_OPERATION_REFRIGERATOR 	 ['To open the Door-in-Door case, press on the area marked Pull to open. The case is removable for easy cleaning and adjustment.']
Door-in-Door Case 	 procedure.steps 	 ['To remove the case, lift up and pull out.', 'To replace the case, line up the tabs on the case with the slots on the door and push down until it snaps into place.']
Door-in-Door 	 have_features_OPERATION_REFRIGERATOR 	 Door-in-Door Bin
Door-in-Door 	 have_features_OPERATION_REFRIGERATOR 	 Door-in-Door Case
Door Bins 	 have_features_OPERATION_REFRIGERATOR 	 Detaching/Assembling the Door Bin
Detaching/Assembling the Door Bin 	 have_features_OPERATION_REFRIGERATOR 	 Door Bin
Door Bin 	 Detaching.description 	 ['The door bins are removable for easy cleaning and adjustment.']
Door Bin 	 Detaching.procedure.steps 	 ['To remove the bin, simply lift the bin up and pull straight out.', 'To assemble the bin, slide it in above the desired support and push down until it snaps into place.']
Door Bin 	 Detaching.caution 	 ['Regularly detach and wash the storage bins and shelves; they can become easily contaminated by food.', 'Do not apply excessive force while detaching or assembling the storage bins.', 'Do not use the dishwasher to clean the storage bins and shelves.']
Door Bin 	 Assembling.description 	 ['The door bins are removable for easy cleaning and adjustment.']
Door Bin 	 Assembling.procedure.steps 	 ['To remove the bin, simply lift the bin up and pull straight out.', 'To assemble the bin, slide it in above the desired support and push down until it snaps into place.']
Door Bin 	 Assembling.caution 	 ['Regularly detach and wash the storage bins and shelves; they can become easily contaminated by food.', 'Do not apply excessive force while detaching or assembling the storage bins.', 'Do not use the dishwasher to clean the storage bins and shelves.']
Durabase 	 using.description 	 ['The Durabase divider allows you to organize the Durabase area into 2 sections. It can be adjusted from side to side to accommodate items of different sizes.']
Durabase 	 using.warning 	 ['If the Durabase divider is removed, there is enough open space for children or pets to crawl inside. To prevent accidental child and pet entrapment or suffocation risk, DO NOT allow children or pets to touch or go near the drawer.']
REFRIGERATOR 	 OPERATION 	 Sabbath Mode
REFRIGERATOR 	 OPERATION 	 Ice and Water Dispenser
REFRIGERATOR 	 OPERATION 	 Ice Compartment
REFRIGERATOR 	 OPERATION 	 Automatic Icemaker
REFRIGERATOR 	 OPERATION 	 Storing Food
REFRIGERATOR 	 OPERATION 	 Humidity Controlled Crispers
REFRIGERATOR 	 OPERATION 	 GlideNServe
REFRIGERATOR 	 OPERATION 	 Refrigerator Shelves
REFRIGERATOR 	 OPERATION 	 Door-in-Door
REFRIGERATOR 	 OPERATION 	 Door Bins
