['LRMNC1803', 'LRMNC1813']
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
Doors and Drawers 	 Removing.summary.description 	 ['If the entrance door is too narrow for the refrigerator to pass through, remove the refrigerator doors and move the refrigerator sideways through the doorway.']
Doors and Drawers 	 Removing.summary.prerequisites.warning 	 ['Use two or more people to remove and install refrigerator doors and freezer drawers.', 'Disconnect the electrical supply to the refrigerator before installing.', 'Do not put hands, feet or other objects into the air vents or bottom of the refrigerator.', 'Be careful when handling the hinge and hinge lever.', 'Remove food and bins before detaching doors and drawers.', 'Do not hold the handle when removing or replacing doors and drawers as the handle may come off.']
Doors and Drawers 	 Removing.summary 	 Tools Needed
Tools Needed 	 description_INSTALLATION_REFRIGERATOR 	 ['3/32 in. Allen wrench', '1/8 in. Allen wrench', '1/4 in. Allen wrench']
Doors and Drawers 	 Removing 	 Removing the Hinge Cover
Removing the Hinge Cover 	 have_features_INSTALLATION_REFRIGERATOR 	 Hinge Cover
Hinge Cover 	 removing 	 ['Remove the screws from the hinge cover at the top of the refrigerator. Lift the hook (not visible), located at the bottom of the front side of the cover with a flat-head screwdriver.']
Removing the Left Refrigerator Door 	 have_features_INSTALLATION_REFRIGERATOR 	 Left Refrigerator Door
Left Refrigerator Door 	 removing.procedure.steps 	 ['Disconnect all the wire harnesses a. Unscrew the ground wire b.', 'Rotate the hinge lever c counterclockwise. Lift the top hinge d free of the hinge lever latch e.', 'When lifting the hinge free of the latch, be careful that the door does not fall forward.', 'Lift the door from the middle hinge pin and remove the door.', 'Place the door, inside facing up, on a nonscratching surface.']
Removing the Right Refrigerator Door 	 have_features_INSTALLATION_REFRIGERATOR 	 Right Refrigerator Door
Right Refrigerator Door 	 removing.procedure.steps 	 ['Detach all the wire harnesses a.', 'The number of wire harnesses may vary depending on the model.', 'Rotate the hinge lever b clockwise. Lift the top hinge c free of the hinge lever latch d.', 'When lifting the hinge free of the latch, be careful that the door does not fall forward.', 'Lift the door from the middle hinge pin and remove the door.', 'Place the door, inside facing up, on a nonscratching surface.']
Removing the Freezer Drawers 	 have_features_INSTALLATION_REFRIGERATOR 	 Freezer Drawers
Freezer Drawers 	 removing.warning 	 ['Use two or more people to remove and install the refrigerator doors and freezer drawer.', 'Be careful of sharp hinges on both sides of the drawer.', 'When you lay the drawer down, be careful not to damage the floor.', 'Do not sit or stand on the freezer drawer.', 'To prevent accidents, keep children and pets away from the drawer. Do not leave the drawer open. If the Durabase storage bin is removed from the freezer drawer, there is sufficient space for a small child or pet to crawl inside.']
Freezer Drawers 	 removing.procedure.steps 	 ['Pull the drawer open to full extension. Remove the Durabase basket from the rails.', 'Remove the screws from the rails at both ends.', 'Grip both sides of the drawer and pull it up to remove it from the rails.', 'Hold both rails and push them in simultaneously.']
Assembling the Freezer Drawer 	 have_features_INSTALLATION_REFRIGERATOR 	 Freezer Drawer
Freezer Drawer 	 assembling.procedure.steps 	 ['Pull out both rails simultaneously until they are fully extended.', 'Grasp the drawer on each side and hook the drawer supports into the rail tabs located on both sides.', 'Lower the door into its final position and insert the screws in the rails on both sides.', 'Insert the basket into the frame, and push the drawer back until it clicks into place.']
Assembling the Right Refrigerator Door 	 have_features_INSTALLATION_REFRIGERATOR 	 Right Refrigerator Door
Right Refrigerator Door 	 assembling.caution 	 ['Install the right-side door first.']
Right Refrigerator Door 	 assembling.procedure.steps 	 ['Make sure that the plastic sleeve is inserted in the bottom of the door. Lower the door onto the middle hinge pin as shown in the figure.', 'Fit the hinge a over the hinge lever latch b and slot it into place. Rotate the lever c counterclockwise to secure the hinge.', 'Connect all the wire harnesses d.', 'The number of wire harnesses may vary depending on the model.']
Assembling the Left Refrigerator Door 	 have_features_INSTALLATION_REFRIGERATOR 	 Left Refrigerator Door
Left Refrigerator Door 	 assembling.caution 	 ['Install the left refrigerator door after the right door is installed.']
Left Refrigerator Door 	 assembling.procedure.steps 	 ['Make sure that the plastic sleeve is inserted in the bottom of the door. Install the refrigerator door onto the middle hinge.', 'Fit the hinge a over the hinge lever latch b and slot it into place. Rotate the lever c clockwise and fasten the hinge.', 'Connect all the wire harnesses and the ground screw.']
Assembling the Hinge Cover 	 have_features_INSTALLATION_REFRIGERATOR 	 Hinge Cover
Hinge Cover 	 assembling 	 ['Position the hinge cover in its place. Insert and tighten the cover screws.']
Doors and Drawers 	 Removing 	 Removing the Left Refrigerator Door
Doors and Drawers 	 Removing 	 Removing the Right Refrigerator Door
Doors and Drawers 	 Removing 	 Removing the Freezer Drawers
Doors and Drawers 	 Removing 	 Assembling the Freezer Drawer
Doors and Drawers 	 Removing 	 Assembling the Right Refrigerator Door
Doors and Drawers 	 Removing 	 Assembling the Left Refrigerator Door
Doors and Drawers 	 Removing 	 Assembling the Hinge Cover
Doors and Drawers 	 Assembling.summary.description 	 ['If the entrance door is too narrow for the refrigerator to pass through, remove the refrigerator doors and move the refrigerator sideways through the doorway.']
Doors and Drawers 	 Assembling.summary.prerequisites.warning 	 ['Use two or more people to remove and install refrigerator doors and freezer drawers.', 'Disconnect the electrical supply to the refrigerator before installing.', 'Do not put hands, feet or other objects into the air vents or bottom of the refrigerator.', 'Be careful when handling the hinge and hinge lever.', 'Remove food and bins before detaching doors and drawers.', 'Do not hold the handle when removing or replacing doors and drawers as the handle may come off.']
Doors and Drawers 	 Assembling.summary 	 Tools Needed
Doors and Drawers 	 Assembling 	 Removing the Hinge Cover
Doors and Drawers 	 Assembling 	 Removing the Left Refrigerator Door
Doors and Drawers 	 Assembling 	 Removing the Right Refrigerator Door
Doors and Drawers 	 Assembling 	 Removing the Freezer Drawers
Doors and Drawers 	 Assembling 	 Assembling the Freezer Drawer
Doors and Drawers 	 Assembling 	 Assembling the Right Refrigerator Door
Doors and Drawers 	 Assembling 	 Assembling the Left Refrigerator Door
Doors and Drawers 	 Assembling 	 Assembling the Hinge Cover
Leveling and Door Alignment 	 have_features_INSTALLATION_REFRIGERATOR 	 Leveling
Leveling 	 description_INSTALLATION_REFRIGERATOR 	 ['The refrigerator has two front leveling legs. Adjust the legs to alter the tilt from front-to-back or side-to side. If the refrigerator seems unsteady, or the doors do not close easily, adjust the refrigerator\x92s tilt using the instructions below']
Leveling 	 procedure.steps 	 ['Turn the leveling leg to the left to raise that side of the refrigerator or to the right to lower it. It may take several turns of the leveling leg to adjust the tilt of the refrigerator.', 'A flare nut wrench works best, but an open-end wrench will suffice. Do not over-tighten.', 'Open both doors and check to make sure that they close easily. If the doors do not close easily, tilt the refrigerator slightly more to the rear by turning both leveling legs to the left. It may take several more turns, and be sure to turn both leveling legs the same amount.']
Door Alignment 	 have_features_INSTALLATION_REFRIGERATOR 	 Left Refrigerator Door
Left Refrigerator Door 	 description_INSTALLATION_REFRIGERATOR 	 ['The left refrigerator door has an adjustable nut, located on the bottom hinge, to raise and lower the door for proper alignment.', 'If the space between the doors is uneven, follow the instructions below to align the left door', "Use the wrench (included with the owner's manual) to turn the nut in the door hinge to adjust the height. Turn the nut to the right to raise the door or to the left to lower it."]
Right Refrigerator Door 	 description_INSTALLATION_REFRIGERATOR 	 ['The right refrigerator door does not have an adjustable nut.', 'If the space between the doors is uneven, follow the instructions below to align the right door']
Right Refrigerator Door 	 procedure.steps 	 ['With one hand, lift up the right door to raise it at the middle hinge. (It may be easier to lift it with the doors open.)', 'With the other hand, use pliers to insert the snap ring on the middle hinge of the right door section as shown.', 'Insert additional snap rings until the right door is aligned. (Three snap rings are provided with the unit.)']
Door Alignment 	 have_features_INSTALLATION_REFRIGERATOR 	 Right Refrigerator Door
Leveling and Door Alignment 	 have_features_INSTALLATION_REFRIGERATOR 	 Door Alignment
Turning on the Power 	 have_features_INSTALLATION_REFRIGERATOR 	 Power
Power 	 Turning_On.summary.description 	 ['After installing, plug the refrigerator\x92s power cord into a 3-prong grounded outlet and push the refrigerator into the final position.']
Power 	 Turning_On.summary.prerequisites.caution 	 ['Connect to a rated power outlet.', 'Have a certified electrician check the wall outlet and wiring for proper grounding.', 'Do not damage or cut off the ground terminal of the power plug.']
Power 	 Turning_On 	 Position the Refrigerator
Position the Refrigerator 	 description_INSTALLATION_REFRIGERATOR 	 ['Arrange the coil of tubing so that it does not vibrate against the back of the refrigerator or against the wall. Push the refrigerator back to the wall.']
REFRIGERATOR 	 INSTALLATION 	 Removing/Assembling Doors and Drawers
REFRIGERATOR 	 INSTALLATION 	 Leveling and Door Alignment
REFRIGERATOR 	 INSTALLATION 	 Turning on the Power
REFRIGERATOR 	 have_features 	 MAINTENANCE
MAINTENANCE 	 cleaning.summary.prerequisites.warning 	 ['Use non-flammable cleaner. Failure to do so can result in fire, explosion, or death.']
MAINTENANCE 	 cleaning.summary.prerequisites.caution 	 ['Do not use an abrasive cloth or sponge when cleaning the interior and exterior of the refrigerator.', 'Do not place your hand on the bottom surface of the refrigerator when opening and closing the doors.']
MAINTENANCE 	 cleaning 	 General Cleaning Tips
General Cleaning Tips 	 description_MAINTENANCE_REFRIGERATOR 	 ['Both the refrigerator and freezer sections defrost automatically; however, clean both sections once a month to prevent odors.', 'Wipe up spills immediately.', 'Unplug the refrigerator or disconnect power before cleaning.', 'Remove all removable parts, such as shelves.', 'Use a clean sponge or soft cloth and a mild detergent in warm water. Do not use abrasive or harsh cleaners.', 'Hand wash, rinse and dry all surfaces thoroughly.']
Exterior 	 description_MAINTENANCE_REFRIGERATOR 	 ['For products with black stainless steel exterior, spray glass cleaner on a clean microfiber cloth and rub in direction of grain. Do not spray glass cleaner directly at the display panel. Do not use harsh or abrasive cleaners.', 'For products with a standard stainless steel exterior, use a damp microfiber cloth and rub in the direction of the grain. Dry with a paper towel to avoid streaks. For stubborn stains and fingerprints, use a few drops of liquid dish soap in water, and rinse with hot water before drying. Do not use abrasive or harsh cleaners.']
Inside Walls 	 description_MAINTENANCE_REFRIGERATOR 	 ['Allow freezer to warm up so the cloth will not stick.', 'To help remove odors, wash the inside of the refrigerator with a mixture of baking soda and warm water. Mix 2 tablespoons of baking soda to 1 quart of water (26 g soda to 1 liter water.) Be sure the baking soda is completely dissolved so it does not scratch the surfaces of the refrigerator.']
Door Liners and Gaskets 	 description_MAINTENANCE_REFRIGERATOR 	 ['Use a clean sponge or soft cloth and a mild detergent in warm water. Do not use cleaning waxes, concentrated detergents, bleaches, or cleaners containing petroleum on plastic refrigerator parts.']
Plastic Parts (Covers and Panels) 	 description_MAINTENANCE_REFRIGERATOR 	 ['Use a clean sponge or soft cloth and a mild detergent in warm water. Do not use glass cleaners, abrasive cleansers, or flammable fluids. These can scratch or damage the material.']
Condenser Coils 	 description_MAINTENANCE_REFRIGERATOR 	 ['Use a vacuum cleaner with a brush or crevice attachment to clean the condenser cover and vents. Do not remove the panel covering the condenser coil area.']
MAINTENANCE 	 cleaning 	 Exterior
MAINTENANCE 	 cleaning 	 Inside Walls
MAINTENANCE 	 cleaning 	 Door Liners and Gaskets
MAINTENANCE 	 cleaning 	 Plastic Parts (Covers and Panels)
MAINTENANCE 	 cleaning 	 Condenser Coils
['Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping.'] 	 talks_about 	 Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping.
Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping. 	 talks_about 	 accumulated during shipping
Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping. 	 talks_about 	 Clean the refrigerator thoroughly and wipe off all dust
Clean the refrigerator thoroughly and wipe off all dust 	 that 	 accumulated during shipping
['Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator. Remove adhesive residue by wiping it off with your thumb or dish detergent.', 'Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator.'] 	 talks_about 	 Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator.
['Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator. Remove adhesive residue by wiping it off with your thumb or dish detergent.', 'Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator.'] 	 talks_about 	 Remove adhesive residue by wiping adhesive residue off with your thumb or dish detergent.
