REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator.
Door Bin 	 Assembling.procedure.steps 	 sentence_list_92
Door Bin 	 Assembling.caution 	 sentence_list_93
Durabase 	 Using.description 	 sentence_list_94
Durabase 	 Using.warning 	 sentence_list_95
REFRIGERATOR 	 OPERATION 	 Sabbath Mode
REFRIGERATOR 	 OPERATION 	 Ice and Water Dispenser
REFRIGERATOR 	 OPERATION 	 Ice Compartment
REFRIGERATOR 	 OPERATION 	 Automatic Icemaker
REFRIGERATOR 	 OPERATION 	 Food
REFRIGERATOR 	 OPERATION 	 Humidity Controlled Crispers
REFRIGERATOR 	 OPERATION 	 GlideNServe
REFRIGERATOR 	 OPERATION 	 Refrigerator Shelves
REFRIGERATOR 	 OPERATION 	 Door-in-Door
REFRIGERATOR 	 OPERATION 	 Door Bins
REFRIGERATOR 	 OPERATION 	 Durabase
sentence_list_2 	 talks about 	 Remove adhesive residue by wiping adhesive residue off with your thumb or dish detergent.
sentence_list_2 	 talks about 	 Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator.
Remove adhesive residue by wiping adhesive residue off with your thumb or dish detergent. 	 paraphrase 	 adhesive residue should be removed by wiping adhesive residue off with your thumb or dish detergent
adhesive residue should be removed by wiping adhesive residue off with your thumb or dish detergent 	 talks about 	 adhesive residue
adhesive residue should be removed by wiping adhesive residue off with your thumb or dish detergent 	 talks about 	 by wiping adhesive residue off with your thumb or dish detergent
adhesive residue 	 should be removed 	 by wiping adhesive residue off with your thumb or dish detergent
Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator. 	 paraphrase 	 the model or serial number label or the technical information on the rear surface of the refrigerator should not be peeled off
the model or serial number label or the technical information on the rear surface of the refrigerator should not be peeled off 	 talks about 	 the model or serial number label or the technical information on the rear surface of the refrigerator
sentence_list_3 	 talks about 	 The inside of the refrigerator may smell like plastic at first.
sentence_list_3 	 talks about 	 Remove any adhesive tape from inside the refrigerator and open the refrigerator doors and the freezer drawers for ventilation.
The inside of the refrigerator may smell like plastic at first. 	 talks about 	 The inside of the refrigerator
The inside of the refrigerator may smell like plastic at first. 	 talks about 	 first
The inside of the refrigerator 	 may smell at 	 first
sentence_list_4 	 talks about 	 Check if the power supply is connected before use.
Check if the power supply is connected before use. 	 talks about 	 the power supply is connected before use
Check if the power supply is connected before use. 	 talks about 	 Check
Check 	 Condition 	 the power supply is connected before use
the power supply is connected before use 	 Follows 	 Check
sentence_list_5 	 talks about 	 Turn off the icemaker if the refrigerator is not yet connected to the water supply.
sentence_list_5 	 talks about 	 The the icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply.
Turn off the icemaker if the refrigerator is not yet connected to the water supply. 	 talks about 	 the refrigerator is not yet connected to the water supply
Turn off the icemaker if the refrigerator is not yet connected to the water supply. 	 talks about 	 Turn off the icemaker
Turn off the icemaker 	 Condition 	 the refrigerator is not yet connected to the water supply
the refrigerator is not yet connected to the water supply 	 Follows 	 Turn off the icemaker
The the icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply. 	 talks about 	 the icemaker is turned on while the refrigerator is not connected to the water supply
The the icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply. 	 talks about 	 The the icemaker water valve may buzz
The the icemaker water valve may buzz 	 Condition 	 the icemaker is turned on while the refrigerator is not connected to the water supply
the icemaker is turned on while the refrigerator is not connected to the water supply 	 Follows 	 The the icemaker water valve may buzz
Turn off the icemaker 	 paraphrase 	 the icemaker should be turned off
the icemaker should be turned off 	 talks about 	 the icemaker
the icemaker is turned on while the refrigerator is not connected to the water supply 	 talks about 	 the refrigerator is not connected to the water supply
the icemaker is turned on while the refrigerator is not connected to the water supply 	 talks about 	 the icemaker is turned on
the icemaker is turned on 	 Synchronous 	 the refrigerator is not connected to the water supply
the refrigerator is not yet connected to the water supply 	 talks about 	 the refrigerator
the refrigerator is not yet connected to the water supply 	 talks about 	 yet
the refrigerator 	 is not connected 	 yet
sentence_list_6 	 talks about 	 Allow the refrigerator to run for at least two to three hours before putting food in the refrigerator.
sentence_list_6 	 talks about 	 Check the flow of cold air in the freezer compartment to ensure proper cooling.
Allow the refrigerator to run for at least two to three hours before putting food in the refrigerator. 	 paraphrase 	 the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks about 	 the refrigerator
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks about 	 to run for at least two to three hours before putting food in the refrigerator
the refrigerator 	 should be allowed 	 to run for at least two to three hours before putting food in the refrigerator
Check the flow of cold air in the freezer compartment to ensure proper cooling. 	 paraphrase 	 the flow of cold air should be checked in the freezer compartment to ensure proper cooling
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks about 	 the flow of cold air
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks about 	 in the freezer compartment to ensure proper cooling
the flow of cold air 	 should be checked 	 in the freezer compartment to ensure proper cooling
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks about 	 at least two to three hours
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks about 	 putting food in the refrigerator
the refrigerator 	 to run for 	 at least two to three hours
the refrigerator 	 to run before 	 putting food in the refrigerator
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks about 	 the freezer compartment
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks about 	 ensure proper cooling
the flow of cold air 	 should be checked in 	 the freezer compartment
the flow of cold air 	 should be checked to 	 ensure proper cooling
sentence_list_7 	 talks about 	 Putting food in the refrigerator before the refrigerator has cooled could cause food to spoil, or a bad odor to remain inside the refrigerator.
Putting food in the refrigerator before the refrigerator has cooled could cause food to spoil, or a bad odor to remain inside the refrigerator. 	 talks about 	 the refrigerator has cooled
Putting food in the refrigerator before the refrigerator has cooled could cause food to spoil, or a bad odor to remain inside the refrigerator. 	 talks about 	 Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator
Putting food in the refrigerator could cause food to spoil , or a bad odor to remain inside the refrigerator 	 Precedence 	 the refrigerator has cooled
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks about 	 Putting food in the refrigerator
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks about 	 food to spoil
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks about 	 a bad odor
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks about 	 the refrigerator
Putting food in the refrigerator 	 could cause 	 food to spoil
a bad odor 	 to remain inside 	 the refrigerator
sentence_list_8 	 talks about 	 The volume will decrease as the temperature decreases.
The volume will decrease as the temperature decreases. 	 talks about 	 as the temperature decreases
The volume will decrease as the temperature decreases. 	 talks about 	 The volume will decrease
sentence_list_9 	 talks about 	 Depending on the model, some of the following functions may not be available.
sentence_list_9 	 talks about 	 The actual control panel may differ from model to model.
Depending on the model, some of the following functions may not be available. 	 talks about 	 some of the following functions
Depending on the model, some of the following functions may not be available. 	 talks about 	 available
some of the following functions 	 may not be 	 available
sentence_list_10 	 talks about 	 When the refrigerator is in the Power Saving Mode, the display remains off until a door is opened or a button is pressed.
sentence_list_10 	 talks about 	 Once on, the display remains on for 20 seconds.
When the refrigerator is in the Power Saving Mode, the display remains off until a door is opened or a button is pressed. 	 talks about 	 the refrigerator is in the Power Saving Mode
When the refrigerator is in the Power Saving Mode, the display remains off until a door is opened or a button is pressed. 	 talks about 	 the display remains off until a door is opened or a button is pressed
the display remains off until a door is opened or a button is pressed 	 Synchronous 	 the refrigerator is in the Power Saving Mode
Once on, the display remains on for 20 seconds. 	 talks about 	 on, the display remains on for 20 seconds
the display remains off until a door is opened or a button is pressed 	 talks about 	 a door is opened or a button is pressed
the display remains off until a door is opened or a button is pressed 	 talks about 	 the display remains off
the display remains off 	 Precedence 	 a door is opened or a button is pressed
a door is opened or a button is pressed 	 talks about 	 a button is pressed
a door is opened or a button is pressed 	 talks about 	 a door is opened
a door is opened 	 Alternative 	 a button is pressed
the refrigerator is in the Power Saving Mode 	 talks about 	 the refrigerator
the refrigerator is in the Power Saving Mode 	 talks about 	 the Power Saving Mode
the refrigerator 	 is in 	 the Power Saving Mode
on, the display remains on for 20 seconds 	 talks about 	 the display
on, the display remains on for 20 seconds 	 talks about 	 20 seconds
the display 	 remains for 	 20 seconds
the display remains off 	 talks about 	 the display
sentence_list_11 	 talks about 	 Ice Plus increases both ice making and freezing capabilities.
sentence_list_11 	 talks about 	 Press the Ice Plus button to illuminate the icon and activate Ice Plus for 24 hours.
sentence_list_11 	 talks about 	 Ice Plus automatically shuts off after 24 hours.
sentence_list_11 	 talks about 	 Stop Ice Plus manually by pressing the Ice Plus button once more.
Press the Ice Plus button to illuminate the icon and activate Ice Plus for 24 hours. 	 paraphrase 	 the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks about 	 the Ice Plus button
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks about 	 to illuminate the icon and activate Ice Plus for 24 hours
the Ice Plus button 	 should be pressed 	 to illuminate the icon and activate Ice Plus for 24 hours
Stop Ice Plus manually by pressing the Ice Plus button once more. 	 paraphrase 	 Ice Plus should be stopped manually by pressing the Ice Plus button once more
Ice Plus should be stopped manually by pressing the Ice Plus button once more 	 talks about 	 Ice Plus
Ice Plus should be stopped manually by pressing the Ice Plus button once more 	 talks about 	 manually by pressing the Ice Plus button once more
Ice Plus 	 should be stopped 	 manually by pressing the Ice Plus button once more
Ice Plus increases both ice making and freezing capabilities. 	 talks about 	 Ice Plus
Ice Plus increases both ice making and freezing capabilities. 	 talks about 	 both ice making
Ice Plus increases both ice making and freezing capabilities. 	 talks about 	 both freezing capabilities
Ice Plus 	 increases 	 both ice making
Ice Plus 	 increases 	 both freezing capabilities
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks about 	 the Ice
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks about 	 Ice
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks about 	 button
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks about 	 24 hours
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks about 	 activate Ice
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks about 	 the icon
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks about 	 illuminate the icon
the Ice 	 to activate 	 Ice
button 	 should be pressed for 	 24 hours
button 	 should be pressed to 	 activate Ice
the Ice 	 should be pressed to 	 activate Ice
the Ice 	 to illuminate 	 the icon
the Ice 	 should be pressed for 	 24 hours
button 	 to illuminate 	 the icon
the Ice 	 should be pressed to 	 illuminate the icon
button 	 should be pressed to 	 illuminate the icon
button 	 to activate 	 Ice
Ice Plus automatically shuts off after 24 hours. 	 talks about 	 Ice Plus
Ice Plus automatically shuts off after 24 hours. 	 talks about 	 24 hours
Ice Plus 	 automatically shuts off after 	 24 hours
sentence_list_12 	 talks about 	 Press the Smart Grid button to turn the function On/Off.
sentence_list_12 	 talks about 	 When the function is on, the icon illuminates.
sentence_list_12 	 talks about 	 the function automatically turns on when the refrigerator is connected to the Wi-Fi network.
sentence_list_12 	 talks about 	 When the refrigerator is responding to a Demand Response ( DR ) message from the electric company, the Grid text illuminates.
Press the Smart Grid button to turn the function On/Off. 	 paraphrase 	 the Smart Grid button should be pressed to turn the function On/Off
the Smart Grid button should be pressed to turn the function On/Off 	 talks about 	 the Smart Grid button
the Smart Grid button should be pressed to turn the function On/Off 	 talks about 	 to turn the function On/Off
the Smart Grid button 	 should be pressed 	 to turn the function On/Off
When the function is on, the icon illuminates. 	 talks about 	 the function is on
When the function is on, the icon illuminates. 	 talks about 	 the icon illuminates
the icon illuminates 	 Synchronous 	 the function is on
the function automatically turns on when the refrigerator is connected to the Wi-Fi network. 	 talks about 	 the refrigerator is connected to the Wi-Fi network
the function automatically turns on when the refrigerator is connected to the Wi-Fi network. 	 talks about 	 the function automatically turns on
the function automatically turns on 	 Synchronous 	 the refrigerator is connected to the Wi-Fi network
When the refrigerator is responding to a Demand Response ( DR ) message from the electric company, the Grid text illuminates. 	 talks about 	 the refrigerator is responding to a Demand Response DR message from the electric company
When the refrigerator is responding to a Demand Response ( DR ) message from the electric company, the Grid text illuminates. 	 talks about 	 the Grid text illuminates
the Grid text illuminates 	 Synchronous 	 the refrigerator is responding to a Demand Response DR message from the electric company
the Smart Grid button should be pressed to turn the function On/Off 	 talks about 	 the function
the Smart Grid button should be pressed to turn the function On/Off 	 talks about 	 turn the function On/Off
the Smart Grid button 	 to turn Off 	 the function
the Smart Grid button 	 should be pressed to 	 turn the function On/Off
the refrigerator is responding to a Demand Response DR message from the electric company 	 talks about 	 the refrigerator
the refrigerator is responding to a Demand Response DR message from the electric company 	 talks about 	 a Demand Response DR message from the electric company
the refrigerator 	 is responding to 	 a Demand Response DR message from the electric company
sentence_list_13 	 talks about 	 Indicates the set temperature of the freezer compartment in Celsius ( ° C ) or Fahrenheit ( ° F ).
sentence_list_13 	 talks about 	 The default freezer temperature is 0 ° F (-18 ° C ).
sentence_list_13 	 talks about 	 Press the Freezer button repeatedly to select a new set temperature from-6 ° F to 8 ° F (-21 ° C to-13 ° C ).
Press the Freezer button repeatedly to select a new set temperature from-6 ° F to 8 ° F (-21 ° C to-13 ° C ). 	 paraphrase 	 the Freezer button should be pressed repeatedly to select a new set temperature from-6 ° F to 8 ° F-21 ° C to-13 ° C
the Freezer button should be pressed repeatedly to select a new set temperature from-6 ° F to 8 ° F-21 ° C to-13 ° C 	 talks about 	 the Freezer button
the Freezer button should be pressed repeatedly to select a new set temperature from-6 ° F to 8 ° F-21 ° C to-13 ° C 	 talks about 	 repeatedly to select a new set temperature from-6 ° F to 8 ° F-21 ° C to-13 ° C
the Freezer button 	 should be pressed 	 repeatedly to select a new set temperature from-6 ° F to 8 ° F-21 ° C to-13 ° C
sentence_list_14 	 talks about 	 Indicates the set temperature of the refrigerator compartment in Celsius ( ° C ) or Fahrenheit ( ° F ).
sentence_list_14 	 talks about 	 The default refrigerator temperature is 37 ° F ( 3 ° C ).
sentence_list_14 	 talks about 	 Press the Refrigerator button repeatedly to select a new set temperature from 33 ° F to 46 ° F ( 1 ° C to 8 ° C ).
sentence_list_14 	 talks about 	 To change the temperature mode from ° F to ° C ( or vice versa ) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds.
To change the temperature mode from ° F to ° C ( or vice versa ) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds. 	 talks about 	 the temperature mode
To change the temperature mode from ° F to ° C ( or vice versa ) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds. 	 talks about 	 from ° F to ° C or vice versa press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds
the temperature mode 	 should be changed by 	 from ° F to ° C or vice versa press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds
sentence_list_14 	 talks about 	 The temperature indicator on the display window switches between Celsius and Fahrenheit.
sentence_list_14 	 talks about 	 The displayed temperature is the target temperature, and not the actual temperature of the refrigerator.
sentence_list_14 	 talks about 	 the actual temperature of the refrigerator depends on the food inside the refrigerator.
Press the Refrigerator button repeatedly to select a new set temperature from 33 ° F to 46 ° F ( 1 ° C to 8 ° C ). 	 paraphrase 	 the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C
the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C 	 talks about 	 the Refrigerator button
the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C 	 talks about 	 repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C
the Refrigerator button 	 should be pressed 	 repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C
The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. 	 talks about 	 The displayed temperature
The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. 	 talks about 	 the target temperature
The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. 	 talks about 	 the actual temperature of the refrigerator
The displayed temperature 	 is 	 the target temperature
The displayed temperature 	 is not 	 the actual temperature of the refrigerator
the actual temperature of the refrigerator depends on the food inside the refrigerator. 	 talks about 	 the actual temperature of the refrigerator
the actual temperature of the refrigerator depends on the food inside the refrigerator. 	 talks about 	 the food inside the refrigerator
the actual temperature of the refrigerator 	 depends on 	 the food inside the refrigerator
sentence_list_15 	 talks about 	 Replace Fresh Air Filter when the g icon turns on.
sentence_list_15 	 talks about 	 After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds to turn the icon light off.
sentence_list_15 	 talks about 	 Replace Fresh Air Filter approximately every six months.
sentence_list_15 	 talks about 	 Refer to the Replacing the Fresh Air Filter section for details.
Replace Fresh Air Filter when the g icon turns on. 	 talks about 	 the g icon turns on
Replace Fresh Air Filter when the g icon turns on. 	 talks about 	 Replace Fresh Air Filter
Replace Fresh Air Filter 	 Synchronous 	 the g icon turns on
After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds to turn the icon light off. 	 talks about 	 to turn the icon light off
After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds to turn the icon light off. 	 talks about 	 After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds
Replace Fresh Air Filter approximately every six months. 	 paraphrase 	 Fresh Air Filter should be replaced approximately every six months
Fresh Air Filter should be replaced approximately every six months 	 talks about 	 Fresh Air Filter
Fresh Air Filter should be replaced approximately every six months 	 talks about 	 approximately every six months
Fresh Air Filter 	 should be replaced 	 approximately every six months
Refer to the Replacing the Fresh Air Filter section for details. 	 paraphrase 	 the Replacing the Fresh Air Filter section should be referred to for details
the Replacing the Fresh Air Filter section should be referred to for details 	 talks about 	 the Replacing the Fresh Air Filter section
the Replacing the Fresh Air Filter section should be referred to for details 	 talks about 	 to for details
the Replacing the Fresh Air Filter section 	 should be referred 	 to for details
Replace Fresh Air Filter 	 paraphrase 	 Fresh Air Filter should be replaced 
Fresh Air Filter should be replaced approximately every six months 	 talks about 	 every six months
Fresh Air Filter should be replaced approximately every six months 	 talks about 	 approximately
Fresh Air Filter 	 should be replaced 	 every six months
Fresh Air Filter 	 should be replaced 	 approximately
sentence_list_16 	 talks about 	 The Fresh Air Filter has two settings, Auto and Power.
sentence_list_16 	 talks about 	 In Auto mode, The Fresh Air Filter cycles on and off in increments of ten minutes on and 110 minutes off.
sentence_list_16 	 talks about 	 If set to the Power mode, The Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off.
sentence_list_16 	 talks about 	 After four hours, The Fresh Air Filter switches back to Auto mode .. Press the Fresh Air Filter button repeatedly to toggle between the Power mode and Auto mode.
