REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping. 	 talks_about 	 Clean the refrigerator thoroughly and wipe off all dust
Clean the refrigerator thoroughly and wipe off all dust 	 that 	 accumulated during shipping
sentence_list_2 	 talks_about 	 Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator.
sentence_list_2 	 talks_about 	 Remove adhesive residue by wiping adhesive residue off with your thumb or dish detergent.
sentence_list_2 	 talks_about 	 Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator.
Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator. 	 talks_about 	 contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator
Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator. 	 talks_about 	 Do not scratch the refrigerator with a sharp object or use a detergent
Do not scratch the refrigerator with a sharp object or use a detergent 	 that 	 contains alcohol , a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator
Remove adhesive residue by wiping adhesive residue off with your thumb or dish detergent. 	 paraphrase 	 adhesive residue should be removed by wiping adhesive residue off with your thumb or dish detergent
adhesive residue should be removed by wiping adhesive residue off with your thumb or dish detergent 	 talks_about 	 adhesive residue
adhesive residue should be removed by wiping adhesive residue off with your thumb or dish detergent 	 talks_about 	 by wiping adhesive residue off with your thumb or dish detergent
adhesive residue 	 should_be_removed 	 by wiping adhesive residue off with your thumb or dish detergent
Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator. 	 paraphrase 	 the model or serial number label or the technical information on the rear surface of the refrigerator should not be peeled off
the model or serial number label or the technical information on the rear surface of the refrigerator should not be peeled off 	 talks_about 	 the model or serial number label or the technical information on the rear surface of the refrigerator
contains alcohol , a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator 	 talks_about 	 removing any tape or adhesive from the refrigerator
contains alcohol , a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator 	 talks_about 	 contains alcohol, a flammable liquid or an abrasive
contains alcohol , a flammable liquid or an abrasive 	 Synchronous 	 removing any tape or adhesive from the refrigerator
sentence_list_3 	 talks_about 	 The inside of the refrigerator may smell like plastic at first.
sentence_list_3 	 talks_about 	 Remove any adhesive tape from inside the refrigerator and open the refrigerator doors and the freezer drawers for ventilation.
The inside of the refrigerator may smell like plastic at first. 	 talks_about 	 The inside of the refrigerator
sentence_list_4 	 talks_about 	 Check if the power supply is connected before use.
Check if the power supply is connected before use. 	 talks_about 	 the power supply is connected before use
Check if the power supply is connected before use. 	 talks_about 	 Check
Check 	 Condition 	 the power supply is connected before use
the power supply is connected before use 	 Follows 	 Check
sentence_list_5 	 talks_about 	 Turn off the icemaker if the refrigerator is not yet connected to the water supply.
sentence_list_5 	 talks_about 	 The the icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply.
Turn off the icemaker if the refrigerator is not yet connected to the water supply. 	 talks_about 	 the refrigerator is not yet connected to the water supply
Turn off the icemaker if the refrigerator is not yet connected to the water supply. 	 talks_about 	 Turn off the icemaker
Turn off the icemaker 	 Condition 	 the refrigerator is not yet connected to the water supply
the refrigerator is not yet connected to the water supply 	 Follows 	 Turn off the icemaker
The the icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply. 	 talks_about 	 the icemaker is turned on while the refrigerator is not connected to the water supply
The the icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply. 	 talks_about 	 The the icemaker water valve may buzz
The the icemaker water valve may buzz 	 Condition 	 the icemaker is turned on while the refrigerator is not connected to the water supply
the icemaker is turned on while the refrigerator is not connected to the water supply 	 Follows 	 The the icemaker water valve may buzz
Turn off the icemaker 	 paraphrase 	 the icemaker should be turned off
the icemaker should be turned off 	 talks_about 	 the icemaker
the icemaker is turned on while the refrigerator is not connected to the water supply 	 talks_about 	 the refrigerator is not connected to the water supply
the icemaker is turned on while the refrigerator is not connected to the water supply 	 talks_about 	 the icemaker is turned on
the icemaker is turned on 	 Synchronous 	 the refrigerator is not connected to the water supply
the refrigerator is not yet connected to the water supply 	 talks_about 	 the refrigerator
sentence_list_6 	 talks_about 	 Allow the refrigerator to run for at least two to three hours before putting food in the refrigerator.
sentence_list_6 	 talks_about 	 Check the flow of cold air in the freezer compartment to ensure proper cooling.
Allow the refrigerator to run for at least two to three hours before putting food in the refrigerator. 	 paraphrase 	 the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks_about 	 the refrigerator
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks_about 	 to run for at least two to three hours before putting food in the refrigerator
the refrigerator 	 should_be_allowed 	 to run for at least two to three hours before putting food in the refrigerator
Check the flow of cold air in the freezer compartment to ensure proper cooling. 	 paraphrase 	 the flow of cold air should be checked in the freezer compartment to ensure proper cooling
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks_about 	 the flow of cold air
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks_about 	 in the freezer compartment to ensure proper cooling
the flow of cold air 	 should_be_checked 	 in the freezer compartment to ensure proper cooling
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks_about 	 putting food in the refrigerator
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks_about 	 at least two to three hours
the refrigerator 	 to_run_before 	 putting food in the refrigerator
the refrigerator 	 to_run_for 	 at least two to three hours
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks_about 	 ensure proper cooling
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks_about 	 the freezer compartment
the flow of cold air 	 should_be_checked_to 	 ensure proper cooling
the flow of cold air 	 should_be_checked_in 	 the freezer compartment
sentence_list_7 	 talks_about 	 Putting food in the refrigerator before the refrigerator has cooled could cause food to spoil, or a bad odor to remain inside the refrigerator.
Putting food in the refrigerator before the refrigerator has cooled could cause food to spoil, or a bad odor to remain inside the refrigerator. 	 talks_about 	 the refrigerator has cooled
Putting food in the refrigerator before the refrigerator has cooled could cause food to spoil, or a bad odor to remain inside the refrigerator. 	 talks_about 	 Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator
Putting food in the refrigerator could cause food to spoil , or a bad odor to remain inside the refrigerator 	 Precedence 	 the refrigerator has cooled
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks_about 	 a bad odor
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks_about 	 the refrigerator
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks_about 	 Putting food in the refrigerator
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks_about 	 food to spoil
a bad odor 	 to_remain_inside 	 the refrigerator
Putting food in the refrigerator 	 could_cause 	 food to spoil
sentence_list_8 	 talks_about 	 makes is normal.
sentence_list_8 	 talks_about 	 The volume will decrease as the temperature decreases.
The volume will decrease as the temperature decreases. 	 talks_about 	 as the temperature decreases
The volume will decrease as the temperature decreases. 	 talks_about 	 The volume will decrease
makes is normal. 	 talks_about 	 makes
makes is normal. 	 talks_about 	 normal
makes 	 is 	 normal
sentence_list_9 	 talks_about 	 Depending on the model, some of the following functions may not be available.
sentence_list_9 	 talks_about 	 The actual control panel may differ from model to model.
Depending on the model, some of the following functions may not be available. 	 talks_about 	 some of the following functions
sentence_list_10 	 talks_about 	 When the refrigerator is in the Power Saving Mode, the display remains off until a door is opened or a button is pressed.
sentence_list_10 	 talks_about 	 Once on, the display remains on for 20 seconds.
When the refrigerator is in the Power Saving Mode, the display remains off until a door is opened or a button is pressed. 	 talks_about 	 the refrigerator is in the Power Saving Mode
When the refrigerator is in the Power Saving Mode, the display remains off until a door is opened or a button is pressed. 	 talks_about 	 the display remains off until a door is opened or a button is pressed
the display remains off until a door is opened or a button is pressed 	 Synchronous 	 the refrigerator is in the Power Saving Mode
Once on, the display remains on for 20 seconds. 	 talks_about 	 on, the display remains on for 20 seconds
the display remains off until a door is opened or a button is pressed 	 talks_about 	 a door is opened or a button is pressed
the display remains off until a door is opened or a button is pressed 	 talks_about 	 the display remains off
the display remains off 	 Precedence 	 a door is opened or a button is pressed
a door is opened or a button is pressed 	 talks_about 	 a button is pressed
a door is opened or a button is pressed 	 talks_about 	 a door is opened
a door is opened 	 Alternative 	 a button is pressed
the refrigerator is in the Power Saving Mode 	 talks_about 	 the refrigerator
the refrigerator is in the Power Saving Mode 	 talks_about 	 the Power Saving Mode
the refrigerator 	 is_in 	 the Power Saving Mode
on, the display remains on for 20 seconds 	 talks_about 	 the display
on, the display remains on for 20 seconds 	 talks_about 	 20 seconds
the display 	 remains_for 	 20 seconds
the display remains off 	 talks_about 	 the display
sentence_list_11 	 talks_about 	 Ice Plus increases both ice making and freezing capabilities.
sentence_list_11 	 talks_about 	 Press the Ice Plus button to illuminate the icon and activate Ice Plus for 24 hours.
sentence_list_11 	 talks_about 	 Ice Plus automatically shuts off after 24 hours.
sentence_list_11 	 talks_about 	 Stop Ice Plus manually by pressing the Ice Plus button once more.
Press the Ice Plus button to illuminate the icon and activate Ice Plus for 24 hours. 	 paraphrase 	 the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 the Ice Plus button
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 to illuminate the icon and activate Ice Plus for 24 hours
the Ice Plus button 	 should_be_pressed 	 to illuminate the icon and activate Ice Plus for 24 hours
Stop Ice Plus manually by pressing the Ice Plus button once more. 	 paraphrase 	 Ice Plus should be stopped manually by pressing the Ice Plus button once more
Ice Plus should be stopped manually by pressing the Ice Plus button once more 	 talks_about 	 Ice Plus
Ice Plus should be stopped manually by pressing the Ice Plus button once more 	 talks_about 	 manually by pressing the Ice Plus button once more
Ice Plus 	 should_be_stopped 	 manually by pressing the Ice Plus button once more
Ice Plus increases both ice making and freezing capabilities. 	 talks_about 	 Ice Plus
Ice Plus increases both ice making and freezing capabilities. 	 talks_about 	 both freezing capabilities
Ice Plus increases both ice making and freezing capabilities. 	 talks_about 	 both ice making
Ice Plus 	 increases 	 both freezing capabilities
Ice Plus 	 increases 	 both ice making
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 button
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 24 hours
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 the Ice
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 Ice
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 illuminate the icon
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 activate Ice
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 the icon
button 	 should_be_pressed_for 	 24 hours
the Ice 	 should_be_pressed_for 	 24 hours
button 	 to_activate 	 Ice
the Ice 	 to_activate 	 Ice
the Ice 	 should_be_pressed_to 	 illuminate the icon
button 	 should_be_pressed_to 	 activate Ice
button 	 should_be_pressed_to 	 illuminate the icon
the Ice 	 should_be_pressed_to 	 activate Ice
button 	 to_illuminate 	 the icon
the Ice 	 to_illuminate 	 the icon
Ice Plus automatically shuts off after 24 hours. 	 talks_about 	 Ice Plus
Ice Plus automatically shuts off after 24 hours. 	 talks_about 	 24 hours
Ice Plus 	 automatically_shuts_off_after 	 24 hours
sentence_list_12 	 talks_about 	 Press the Smart Grid button to turn the function On/Off.
sentence_list_12 	 talks_about 	 When the function is on, the icon illuminates.
sentence_list_12 	 talks_about 	 the function automatically turns on when the refrigerator is connected to the Wi-Fi network.
sentence_list_12 	 talks_about 	 When the refrigerator is responding to a Demand Response ( DR ) message from the electric company, the Grid text illuminates.
Press the Smart Grid button to turn the function On/Off. 	 paraphrase 	 the Smart Grid button should be pressed to turn the function On/Off
the Smart Grid button should be pressed to turn the function On/Off 	 talks_about 	 the Smart Grid button
the Smart Grid button should be pressed to turn the function On/Off 	 talks_about 	 to turn the function On/Off
the Smart Grid button 	 should_be_pressed 	 to turn the function On/Off
When the function is on, the icon illuminates. 	 talks_about 	 the function is on
When the function is on, the icon illuminates. 	 talks_about 	 the icon illuminates
the icon illuminates 	 Synchronous 	 the function is on
the function automatically turns on when the refrigerator is connected to the Wi-Fi network. 	 talks_about 	 the refrigerator is connected to the Wi-Fi network
the function automatically turns on when the refrigerator is connected to the Wi-Fi network. 	 talks_about 	 the function automatically turns on
the function automatically turns on 	 Synchronous 	 the refrigerator is connected to the Wi-Fi network
When the refrigerator is responding to a Demand Response ( DR ) message from the electric company, the Grid text illuminates. 	 talks_about 	 the refrigerator is responding to a Demand Response DR message from the electric company
When the refrigerator is responding to a Demand Response ( DR ) message from the electric company, the Grid text illuminates. 	 talks_about 	 the Grid text illuminates
the Grid text illuminates 	 Synchronous 	 the refrigerator is responding to a Demand Response DR message from the electric company
the Smart Grid button should be pressed to turn the function On/Off 	 talks_about 	 the function
the Smart Grid button should be pressed to turn the function On/Off 	 talks_about 	 turn the function On/Off
the Smart Grid button 	 to_turn_Off 	 the function
the Smart Grid button 	 should_be_pressed_to 	 turn the function On/Off
the refrigerator is responding to a Demand Response DR message from the electric company 	 talks_about 	 the refrigerator
the refrigerator is responding to a Demand Response DR message from the electric company 	 talks_about 	 a Demand Response DR message from the electric company
the refrigerator 	 is_responding_to 	 a Demand Response DR message from the electric company
sentence_list_13 	 talks_about 	 Indicates the set temperature of the freezer compartment in Celsius ( ° C ) or Fahrenheit ( ° F ).
sentence_list_13 	 talks_about 	 The default freezer temperature is 0 ° F ( -18 ° C ).
sentence_list_13 	 talks_about 	 Press the Freezer button repeatedly to select a new set temperature from-6 ° F to 8 ° F ( -21 ° C to-13 ° C ).
Press the Freezer button repeatedly to select a new set temperature from-6 ° F to 8 ° F ( -21 ° C to-13 ° C ). 	 paraphrase 	 the Freezer button should be pressed repeatedly to select a new set temperature from-6 ° F to 8 ° F -21 ° C to-13 ° C
the Freezer button should be pressed repeatedly to select a new set temperature from-6 ° F to 8 ° F -21 ° C to-13 ° C 	 talks_about 	 the Freezer button
the Freezer button should be pressed repeatedly to select a new set temperature from-6 ° F to 8 ° F -21 ° C to-13 ° C 	 talks_about 	 repeatedly to select a new set temperature from-6 ° F to 8 ° F -21 ° C to-13 ° C
the Freezer button 	 should_be_pressed 	 repeatedly to select a new set temperature from-6 ° F to 8 ° F -21 ° C to-13 ° C
sentence_list_14 	 talks_about 	 Indicates the set temperature of the refrigerator compartment in Celsius ( ° C ) or Fahrenheit ( ° F ).
sentence_list_14 	 talks_about 	 The default refrigerator temperature is 37 ° F ( 3 ° C ).
sentence_list_14 	 talks_about 	 Press the Refrigerator button repeatedly to select a new set temperature from 33 ° F to 46 ° F ( 1 ° C to 8 ° C ).
sentence_list_14 	 talks_about 	 To change the temperature mode from ° F to ° C ( or vice versa ) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds.
To change the temperature mode from ° F to ° C ( or vice versa ) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds. 	 talks_about 	 the temperature mode
To change the temperature mode from ° F to ° C ( or vice versa ) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds. 	 talks_about 	 from ° F to ° C or vice versa press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds
the temperature mode 	 should_be_changed_by 	 from ° F to ° C or vice versa press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds
sentence_list_14 	 talks_about 	 The temperature indicator on the display window switches between Celsius and Fahrenheit.
sentence_list_14 	 talks_about 	 The displayed temperature is the target temperature, and not the actual temperature of the refrigerator.
sentence_list_14 	 talks_about 	 the actual temperature of the refrigerator depends on the food inside the refrigerator.
Press the Refrigerator button repeatedly to select a new set temperature from 33 ° F to 46 ° F ( 1 ° C to 8 ° C ). 	 paraphrase 	 the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C
the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C 	 talks_about 	 the Refrigerator button
the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C 	 talks_about 	 repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C
the Refrigerator button 	 should_be_pressed 	 repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C
The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. 	 talks_about 	 The displayed temperature
The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. 	 talks_about 	 the actual temperature of the refrigerator
The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. 	 talks_about 	 the target temperature
The displayed temperature 	 is_not 	 the actual temperature of the refrigerator
The displayed temperature 	 is 	 the target temperature
the actual temperature of the refrigerator depends on the food inside the refrigerator. 	 talks_about 	 the actual temperature of the refrigerator
the actual temperature of the refrigerator depends on the food inside the refrigerator. 	 talks_about 	 the food inside the refrigerator
the actual temperature of the refrigerator 	 depends_on 	 the food inside the refrigerator
sentence_list_15 	 talks_about 	 Replace Fresh Air Filter when the g icon turns on.
sentence_list_15 	 talks_about 	 After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds to turn the icon light off.
sentence_list_15 	 talks_about 	 Replace Fresh Air Filter approximately every six months.
sentence_list_15 	 talks_about 	 Refer to the Replacing the Fresh Air Filter section for details.
sentence_list_15 	 talks_about 	 the Fresh Air Filter helps remove odors from the refrigerator.
sentence_list_15 	 talks_about 	 the Fresh Air Filter has two settings, Auto and Power.
sentence_list_15 	 talks_about 	 In Auto mode, the Fresh Air Filter cycles on and off in increments of ten minutes on and 110 minutes off.
sentence_list_15 	 talks_about 	 If set to the Power mode, the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off.
sentence_list_15 	 talks_about 	 After four hours, the Fresh Air Filter switches back to Auto mode.
sentence_list_15 	 talks_about 	 Press the Fresh Air Filter button repeatedly to toggle between the Power mode and Auto mode.
Replace Fresh Air Filter when the g icon turns on. 	 talks_about 	 the g icon turns on
Replace Fresh Air Filter when the g icon turns on. 	 talks_about 	 Replace Fresh Air Filter
Replace Fresh Air Filter 	 Synchronous 	 the g icon turns on
After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds to turn the icon light off. 	 talks_about 	 to turn the icon light off
After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds to turn the icon light off. 	 talks_about 	 After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds
Replace Fresh Air Filter approximately every six months. 	 paraphrase 	 Fresh Air Filter should be replaced approximately every six months
